"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"10",2011,"7",55,"Dawn","Clear","Main","4",221.93,"East",0,"Recorded",14,19069,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,134,0,0,0,0,1,0,0,1,5,5,45,45,41.847302,-100.1535,"4","CL","Class 1","SMT-5 - BNSF",213300,0,251227,213300,"No"
"07",2011,"7",73,"Dawn","Cloudy","Main","4",233.6,"East",45,"Recorded",45,19448,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,136,0,0,0,0,1,0,0,1,4,4,40,40,41.264432,-101.772386,"4","CL","Class 1","SMT-6 - UP/KCS",2486394,254007,2740401,2740401,"No"
"05",2014,"19",70,"Dusk","Clear","Yard","X",100,"North",7,"Recorded",7,100,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,0,0,2,0,0,1,0,1,1,3,3,15,15,40.395796,-79.836176,"X","Cl","Class 3","SMT-2 - Short Line East",100,17800,17900,17900,"No"
"04",2014,"8",54,"Day","Cloudy","Main","1",1169.4,"North",15,"Estimated",15,0,"Signaled","Direct Train Control",0,0,"Yes",0,1,4,0,1,0,0,0,0,0,0,1,0,0,1,1,1,30,30,40.080958,-75.200652,"1","No","Class 3","SMT-1 - Amtrak, Commuter East",25955,10000,35955,35955,"No"
"04",2014,"18",55,"Dusk","Cloudy","Main","2",1169.4,"North",20,"Estimated",20,0,"Signaled","Direct Train Control",0,0,"Yes",0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,5,5,30,30,39.944869,-75.228684,"2","No","Class 3","SMT-1 - Amtrak, Commuter East",30000,0,30000,30000,"No"
"06",2016,"12",79,"Day","Clear","Main","3",61.7,"West",24,"Recorded",24,13117,"Signaled","Signal Indication",0,0,"No",94,3,0,0,0,0,96,0,0,0,0,1,0,0,1,6,6,26,26,45.684417,-121.396595,"3","CL","Class 1","SMT-6 - UP/KCS",1674996,176811,1851807,1851807,"No"
"09",2012,"23",50,"Dark","Clear","Main","3",115.4,"West",29,"Recorded",29,6273,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,40,0,0,0,0,1,0,0,1,2,2,20,20,43.089971,-76.134319,"3","CL","Class 1","SMT-9 - CSX",13850,10000,23850,23850,"No"
"07",2013,"19",76,"Dusk","Clear","Main","2",64.9,"South",9,"Recorded",9,11439,"Signaled","Signal Indication",0,0,"No",11,3,0,0,0,0,81,0,26,0,0,1,0,0,1,8,8,40,40,39.390594,-84.557672,"2","CL","Class 1","SMT-9 - CSX",18811,2700,21511,21511,"No"
"12",2014,"18",56,"Dark","Cloudy","Main","1",1,"West",3,"Recorded",3,5720,"Not Signaled","Yard/Restricted Limits",0,1,"No",0,3,0,0,0,0,44,0,0,0,0,1,0,1,1,10,10,6,6,36.516937,-114.425729,"1","CL","Class 1","SMT-6 - UP/KCS",5370,7500,12870,12870,"Yes"
"03",2015,"15",50,"Day","Clear","Main","5",36.7,"East",66,"Recorded",66,3448,"Signaled","Signal Indication",0,0,"No",6,3,0,0,0,0,51,0,0,0,0,1,0,0,1,3,3,3,8,39.806947,-118.774316,"5","CL","Class 1","SMT-6 - UP/KCS",1880592,904474,2785066,2785066,"No"
