"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2016,"21",21,"Dark","Clear","Main","4",139.58,"East",30,"Recorded",30,13874,"Signaled","Signal Indication","No",1,2,0,0,0,0,99,0,1,0,0,1,0,0,1,40.504845,-96.567713,"4","CL","Class 1","SMT-5 - BNSF",3214387,"No","No","Fall"
2017,"4",50,"Dark","Clear","Main","4",37.1,"East",40,"Recorded",40,19293,"Signaled","Signal Indication","No",0,2,0,0,0,2,135,0,0,0,0,1,0,0,1,41.980359,-100.54947,"4","CL","Class 1","SMT-5 - BNSF",1558391,"No","No","Spring"
2013,"9",35,"Day","Clear","Yard","2",1.3,"West",5,"Estimated",5,0,"Not Signaled","Other Than Main Track","No",0,2,0,0,0,0,30,0,18,0,0,1,0,1,1,36.204428,-80.999827,"2","Cl","Class 3","SMT-2 - Short Line East",29500,"No","No","Winter"
2016,"9",39,"Day","Un-Clear","Main","4",28.14,"North",10,"Recorded",10,14817,"Signaled","Signal Indication","No",0,2,0,0,0,3,114,0,0,0,0,1,0,0,1,34.775478,-89.4349,"4","CL","Class 1","SMT-5 - BNSF",11264,"No","No","Winter"
2017,"17",46,"Day","Un-Clear","Main","4",76.23,"East",5,"Estimated",47,1215,"Signaled","Signal Indication","No",0,2,0,0,0,0,4,0,19,0,0,1,0,1,1,48.150048,-103.576409,"4","CL","Class 1","SMT-5 - BNSF",300529,"No","Yes","Fall"
2012,"15",98,"Day","Clear","Main","4",47.6,"North",23,"Recorded",23,3086,"Signaled","Signal Indication","No",0,1,0,0,0,1,0,0,124,0,0,1,0,0,1,37.60798,-94.60064,"4","CL","Class 1","SMT-5 - BNSF",1078118,"No","No","Summer"
2019,"4",55,"Dark","Clear","Main","2",4.1,"East",24,"Recorded",24,3474,"Not Signaled","Direct Train Control","No",4,4,0,0,0,0,13,0,59,0,0,1,0,0,1,46.963892,-114.116272,"2","Cl","Class 2","SMT-8 - Short Line West",39284,"No","No","Summer"
2018,"7",75,"Day","Un-Clear","Main","2",36,"East",7,"Estimated",7,8002,"Signaled","Signal Indication","No",7,3,0,0,0,0,59,0,74,0,0,1,0,0,1,32.344307,-90.883635,"2","CL","Class 1","SMT-6 - UP/KCS",64047,"No","No","Spring"
2019,"15",93,"Day","Clear","Main","3",46.8,"North",33,"Estimated",33,2935,"Signaled","Signal Indication","No",7,2,0,0,0,0,7,0,61,0,0,1,0,0,1,35.327794,-86.17821,"3","CL","Class 1","SMT-9 - CSX",498329,"No","No","Spring"
2015,"3",47,"Dark","Un-Clear","Yard","1",1,"East",4,"Recorded",4,0,"Not Signaled","Other Than Main Track","No",0,3,0,0,0,0,16,0,6,0,0,1,0,0,1,40.196817,-74.790952,"1","Cl","Class 3","SMT-2 - Short Line East",2447,"No","No","Fall"
2014,"8",43,"Day","Clear","Main","4",11.89,"South",47,"Recorded",47,10078,"Not Signaled","Direct Train Control","No",48,3,0,0,0,0,73,0,12,0,0,1,0,0,1,31.204433,-89.057053,"4","Cl","Class 1","SMT-4 - CP/CN/CCD",1931745,"No","No","Winter"
2013,"21",59,"Dark","Clear","Yard","1",3,"East",4,"Estimated",4,1200,"Not Signaled","Other Than Main Track","No",0,2,0,0,0,0,7,0,3,0,0,1,0,1,1,32.247298,-90.124635,"1","CL","Class 1","SMT-6 - UP/KCS",18192,"No","No","Winter"
2014,"3",84,"Dark","Un-Clear","Main","5",11,"South",0,"Estimated",15,5282,"Signaled","Signal Indication","No",0,2,0,0,0,0,21,0,77,0,0,1,0,0,1,31.005414,-89.447329,"5","CL","Class 1","SMT-3 - Norfolk Southern",16728,"No","No","Spring"
2014,"3",84,"Dark","Un-Clear","Siding","2",11,"North",15,"Recorded",15,7513,"Signaled","Signal Indication","No",0,2,0,0,0,0,48,0,32,0,0,1,0,0,1,31.005414,-89.447329,"5","CL","Class 1","SMT-3 - Norfolk Southern",719398,"No","No","Spring"
2019,"20",84,"Day","Clear","Main","3",17.5,"North",8,"Recorded",8,9138,"Signaled","Signal Indication","No",0,4,0,0,0,0,82,0,49,0,0,1,0,0,1,41.572948,-83.492604,"3","CL","Class 1","SMT-9 - CSX",63483,"No","No","Summer"
